Codigo,Codigo_Fabricante,Descripcion,Rubro,Marca,Stock,Precio_Original_USD,Precio_Final_USD,Ganancia_Unitaria_USD,Margen_Porcentaje
20732,NG-611URS,Mouse optico -usb -800dpi -luminoso -pink -Noganet (NG-611URS),Mouses C/Cable,Noganet,Si,1.98,3.96,1.98,100.0
22963,DOMO-15-A2,Control remoto universal RF 433MHz -batería A27 -portatil y compacto -Demasled (DOMO-15-A2),Iluminacion,Demasled,Si,1.85,3.70,1.85,100.0
22153,NSRIM2U,Adaptador M.2 a usb 3.0 p/riser -mineria -c/destornillador -Nisuta (NSRIM2U),Placas / Puertos / Controladoras / Hub usb,Nisuta,Si,0.51,1.02,0.51,100.0
19084,KCA314 600209,Adaptador audio 1 plug 3.5mm 4 contactos a 2 jack 3.5mm -audio splitter -black -Kolke (KCA314 600209),Adaptadores,Kolke,Si,0.88,1.76,0.88,100.0
21896,NM-BT9,Adaptador bluetooth 5.0 -usb 2.0 -hasta 50mts -ultra slim -black -Netmak (NM-BT9),Conectividad Ir Y Bluetooth,Netmak,Si,4.14,8.28,4.14,100.0
24484,MA530 V1.2,Adaptador bluetooth 5.4 -nano usb -hasta 7 dispositivos -black -Tp-Link (Mercusys) MA530 V1.2,Conectividad Ir Y Bluetooth,Tp-Link (Mercusys),Si,3.55,7.10,3.55,100.0
23385,UC400,Adaptador type-C a usb 3.0 M/H -cable 10cm -white -Tp-Link (UC400),Adaptadores,TP-Link,Si,6.07,12.14,6.07,100.0
19053,NM-CS150,Adaptador wireless USB -150Mbps -mini adapter -Netmak (NM-CS150),Conectividad Placas De Red,Netmak,Si,4.59,9.18,4.59,100.0
22097,MW150US,Adaptador wireless USB -150Mbps -mini adapter -Tp-Link (Mercusys) (MW150US),Conectividad Placas De Red,Tp-Link (Mercusys),Si,3.33,6.66,3.33,100.0
19054,NM-CS300,Adaptador wireless USB -300Mbps -mini adapter -Netmak (NM-CS300),Conectividad Placas De Red,Netmak,Si,6.00,12.00,6.00,100.0
20719,NM-CS154,Adaptador wireless USB 150Mbps -wifi -2.4GHz -diseño mini -antena receptora -black -Netmak (NM-CS154),Conectividad Placas De Red,Netmak,Si,5.42,10.84,5.42,100.0
24305,VINO0004,Aireador de Vino -decantador instantaneo -presentacion en caja elegante -acrilico y silicona -Gadnic V014594 (VINO0004),Bazar y Hogar,Gadnic,Si,6.15,12.30,6.15,100.0
24608,RIEGAUT7,Aspersor de Riego Automático -oscilante -4 modos -compacto -Gadnic MNJ16 (RIEGAUT7),Bazar y Hogar,Gadnic,Si,5.34,10.68,5.34,100.0
16832,NG-903RJ,Auricular -vincha ajustable -3.5 mm-ultra liviano -hi-fi -red -Noganet (NG-903),Auriculares Vincha c/cable,Noganet,Si,4.21,8.42,4.21,100.0
20617,NG-903V,Auricular -vincha ajustable -ultra liviano -hi-fi -green -Noganet (NG-903),Auriculares Vincha c/cable,Noganet,Si,4.84,9.68,4.84,100.0
