Codigo,Codigo_Fabricante,Descripcion,Rubro,Marca,Stock,Precio_Original_USD,Precio_Final_USD,Ganancia_Unitaria_USD,Margen_Porcentaje
22639,PC ARMADA OP1,	 PC ARMADA -Intel Core i3-12100 -3.30GHz +  Gigabyte H610M K DDR4 + ddr4 8GB + ssd 480Gb + gab con fuente,PCs Armadas / AIOs,Generica,Si,342.82,411.38,68.56,20.0
23192,1F3Y2A,Impresora multifuncion -usb 2.0/bt/wifi/wifi direct -c/cable -display lcd -black/grey -HP Smart Tank 580 (1F3Y2A),Impresora Multifuncion Inyec Tinta,Hewlett Packard,Si,259.98,311.98,52.00,20.0
20827,BX8070110400F,Micro socket 1200 (10ma gen) -Intel Core i5-10400F -2.9GHz (up to 4.3GHz) -nucleos x6 -comet lake -sin video (BX8070110400F),Micro Socket 1200,Intel,Si,113.57,136.28,22.71,20.0
24419,CITY C85," Monopatin electrico -llanta 8.5"" -25Km/h -max. 120kg -motor 350w -plegable -bat. recargable 36v 10ah -luces led -black -Kany (City C85)",Accesorios y Gadgets Geeks,Kany,Si,667.32,800.78,133.46,20.0
24429,NM-BEAST-RGB,Silla gamer -iluminacion RGB -apoyabrazos -5 ruedas 50mm -respaldo reclinable -2 almohadones de refuerzo removibles -cubierta de cuero PU suave -ergonomica -black -Netmak (NM-BEAST-RGB),Muebles Sillas,Netmak,Si,205.37,246.44,41.07,20.0
18241,UE330,Adaptador USB 3.0 M a RJ-45 H Ethernet gigabit c/hub usb 3 puertos 3.0 -white -TP-Link (UE330),Conectividad Placas De Red,TP-Link,Si,32.09,38.51,6.42,20.0
22394,ARCHER TX55E,Adaptador wireless PCI-E -574/2402Mbps -dual band 2.4/5GHz -wifi 6 -bluetooth 5.2 -2 antenas high-gain -TP-Link AX3000 (ARCHER TX55E),Conectividad Placas De Red,TP-Link,Si,32.30,38.76,6.46,20.0
23576,ARCHER TX50UH,Adaptador wireless USB 574/2402Mbps -dual band 2.4/5GHz -usb 3.0 -ultra veloz -wifi 6 -2 antenas de alta ganancia -gray -TP-Link AX3000 (ARCHER TX50UH),Conectividad Placas De Red,TP-Link,Si,34.03,40.84,6.81,20.0
24301,KEMEI008,Afeitadora inalambrica -bat. recargable -black -Kemei by Gadnic Km-2026 (KEMEI008),Electrodomesticos,Gadnic,Si,32.45,38.94,6.49,20.0
24302,DEPI0009,Afeitadora inalambrica -bat. recargable 800mAh -recortadora desplegable -resistente al agua -black -Care by Gadnic DW2000 (DEPI0009),Electrodomesticos,Gadnic,Si,46.72,56.06,9.34,20.0
24303,DEPI0014,Afeitadora y cortadora de pelo inalambrica 5 en 1 -bat. recargable -resistente al agua IPX7 -ergonomica -black/blue -Care by Gadnic 5 in 1 (DEPI0014),Electrodomesticos,Gadnic,Si,42.45,50.94,8.49,20.0
23848,FOTO0002,"Aro luz led 18"" -46cm -control remoto -luz calida y fria (3300K/5600K) -c/accesorio p/celular -15V-18V(4A-5A) -black -Gadnic (FOTO002)",Accesorios y Gadgets Geeks,Gadnic,Si,149.04,178.85,29.81,20.0
24046,ROB00090,Aspiradora robot WIFI -control por app/control remoto -bat. auto-carga 2500mAh -capacidad 350ml -area de limpieza hasta 200m2 -sensor anti-caida y anti-colision -4 modos de limpieza -mapa 2D -black -Liectroux by Gadnic C30B (ROB00090),Electrodomesticos,Gadnic,Si,280.90,337.08,56.18,20.0
23853,DESELE01,Atornillador + accesorios -inalambrico -bat. recargable 1300 mAh Li-on -3.6V -18W -Gadnic Tools D5 Pro (DESELE01),Herramientas,Gadnic,Si,32.92,39.50,6.58,20.0
23763,DHE-8006,Auricular c/microfono -Usb 7.1 -Rgb -Stereo Deep Bass c/efecto Surround -black HP DHE-8006 (DHE-8006),Auriculares Vincha c/cable,Hewlett Packard,Si,64.47,77.36,12.89,20.0
23550,981-000863,Auricular c/microfono -gamer -usb-a 2.0 -lightspeed -lightsync rgb -almohadillas acolchadas viscoelásticas -audio inmersivo -sonido envolvente -black -Logitech G733 (981-000863),Auriculares Vincha c/cable,Logitech,Si,166.81,200.17,33.36,20.0
10894,981-000014,Auricular c/microfono -usb -almohadillas acolchadas -reducción de ruido -black -Logitech Headset H390 (981-000014),Auriculares Vincha c/cable,Logitech,Si,37.74,45.29,7.55,20.0
23470,981-001280,Auricular c/microfono -usb -almohadillas acolchadas -reducción de ruido -pink -Logitech Headset H390 (981-001280),Auriculares Vincha c/cable,Logitech,Si,36.42,43.70,7.28,20.0
23572,981-001285,Auricular c/microfono -usb -almohadillas acolchadas -reducción de ruido -white -Logitech Headset H390 (981-001285),Auriculares Vincha c/cable,Logitech,Si,39.86,47.83,7.97,20.0
23716,981-000742,Auricular c/microfono -wireless 2.4 GHz + aux 3.5mm -sonido envolvente 7.1 -rgb lightsync -teclas G programables -gamer -black -Logitech G935 (981-000742),Auriculares Vincha Bluetooth/Inalambricos,Logitech,Si,228.68,274.42,45.74,20.0
23718,981-001049,Auricular c/microfono -wireless 2.4 GHz lightspeed + bt low latency -10 metros -reducción de ruido -gamer -black -Logitech G435 (981-001049),Auriculares Vincha Bluetooth/Inalambricos,Logitech,Si,108.28,129.94,21.66,20.0
23714,981-001061,Auricular c/microfono -wireless 2.4 GHz lightspeed + bt low latency -10 metros -reducción de ruido -gamer -blue -Logitech G435 (981-001061),Auriculares Vincha Bluetooth/Inalambricos,Logitech,Si,85.98,103.18,17.20,20.0
23715,981-001073,Auricular c/microfono -wireless 2.4 GHz lightspeed + bt low latency -10 metros -reducción de ruido -gamer -white -Logitech G435 (981-001073),Auriculares Vincha Bluetooth/Inalambricos,Logitech,Si,103.54,124.25,20.71,20.0
